asyl_app,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
ASY_APP_ACC,LV	2 	5 	12 	10 	12 	12 	13 	10 d	69 d	136 d
ASY_APP_ACC,MT	3444 	4097 	531 	2126 	3416 	3768 	2899 	2809 d	2613 d	1624 de
ASY_APP_ACC,NL	345 	499 	482 	409 	329 p	355 	744 	971 d	1222 d	457 d
ASY_APP_ACC,NO	640 	934 	1084 	811 	1032 	1136 	955 	1204 d	2441 d	904 d
ASY_APP_ACC,PL	73 	66 	13 b	12 	14 	18 	19 	17 d	8 d	13 d
ASY_APP_ACC,PT	7 	5 	5 	6 	10 	13 	11 	19 d	31 d	49 d
ASY_APP_ACC,RO	5 	6 	3 	4 	11 	46 e	37 e	24 de	41 d	64 dep
ASY_APP_ACC,SE	850 	763 	907 	932 	1303 	2501 	3161 	3302 d	6710 d	2662 d
ASY_APP_ACC,SI	2 b	10 	12 	10 	17 	17 	22 	22 d	82 d	73 d
ASY_APP_ACC,SK	17 	33 	17 	21 	35 	13 	31 	15 d	39 d	11 d
ASY_APP_ACC,UK	115 	135 	103 	114 	123 	133 	157 e	214 de	151 de	130 dp
NASY_APP,AT	: 	: 	: 	: 	: 	: 	3004 	9893 	4564 	2552 p
NASY_APP,BE	1036 	1537 	1979 	2297 b	1651 b	1072 	1253 	3458 	1258 	1233 
NASY_APP,BG	: 	: 	: 	96 	168 	961 	1496 	2809 	2664 	490 
NASY_APP,CH	1975 	1861 	1715 	2430 b	3223 	2388 	2679 	4595 	3084 	1966 p
NASY_APP,CY	4983 	3960 	3418 	2051 	1840 	1334 	1736 	2483 	3335 	5206 p
NASY_APP,CZ	101 	59 	36 	46 	48 	47 	86 	117 	114 	108 
NASY_APP,DE	260 	337 	504 	569 b	801 	1356 	2136 	5408 	8771 	2398 e
NASY_APP,DK	428 	674 	913 	708 	1081 	1277 	2576 	3664 	1057 	542 
NASY_APP,EE	11 	26 	23 	49 	57 	72 	110 	171 b	114 	137 
NASY_APP,EL	: 	: 	: 	838 	867 	717 	696 	1051 	4628 	5295 ep
NASY_APP,ES	: 	: 	55 	64 	50 	92 	117 	314 	335 	709 p
NASY_APP,EU28	305 bd	390 	411 b	523 b	551 b	727 e	1108 e	2467 bep	2361 ep	1278 bep
NASY_APP,FI	: 	: 	: 	: 	537 	549 	639 	5867 	960 	785 
NASY_APP,FR	: 	652 	741 	801 	829 	919 	890 	1060 bp	1149 p	1370 p
NASY_APP,HR	: 	: 	: 	: 	: 	246 	90 	33 	515 	213 
NASY_APP,HU	: 	: 	: 	: 	: 	1877 	4177 	17722 	2875 	318 
NASY_APP,IE	845 	584 	420 	279 	204 	203 	309 	695 	470 	605 p
NASY_APP,IS	: 	: 	: 	: 	: 	: 	: 	1088 	3279 	3101 
NASY_APP,IT	512 	299 	169 	679 	288 	427 	1047 	1364 	1999 	2090 
NASY_APP,LI	: 	: 	: 	: 	: 	: 	: 	: 	1989 	3820 p
NASY_APP,LT	: 	66 	119 	134 	187 	85 	131 	95 	145 	184 
NASY_APP,LU	: 	: 	: 	3694 	3767 b	1822 	1851 	4143 	3548 	3890 b
NASY_APP,LV	23 	23 	29 	163 	93 	92 	183 	167 	176 	183 
NASY_APP,MT	6363 	5782 	350 	4480 	4904 	5165 	2934 	3809 	3810 	3440 e
NASY_APP,NL	814 	900 	800 	693 	577 p	584 	1291 	2540 	1132 	941 
NASY_APP,NO	2941 	3411 	1896 	1720 	1835 	2250 	2124 	5871 	619 	635 
NASY_APP,PL	189 	253 	114 b	131 	241 	367 	148 	270 	258 	79 
NASY_APP,PT	15 	13 	15 	26 	28 	48 	42 	84 	69 	99 
NASY_APP,RO	: 	: 	: 	84 	121 	70 e	75 e	62 e	94 	240 ep
NASY_APP,SE	2633 	2538 	3389 	3136 	4605 	5127 	7733 	15931 	2250 	2206 
NASY_APP,SI	119 b	86 	95 	149 	126 	117 	172 	126 	613 	694 
NASY_APP,SK	: 	: 	58 	59 	102 	54 	42 	50 	18 	28 
NASY_APP,UK	506 	492 	360 	409 	438 	462 	497 e	610 e	598 e	520 p
