unit,nace_r2,geo\time	2002 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,B-S_X_O,AT	: 	25.5 	25.5 	25.1 	24.3 	24.0 	23.5 	22.9 	22.3 	22.2 	21.7 	20.1 
PC,B-S_X_O,BE	: 	9.5 	10.1 	10.2 	10.1 	10.2 	9.4 	8.3 	7.5 	6.6 	6.5 	6.1 
PC,B-S_X_O,BG	18.9 	12.4 	12.1 	12.3 	13.3 	13.0 	13.2 	15.1 	14.1 	14.2 	15.4 	14.4 
PC,B-S_X_O,CH	: 	18.6 	: 	18.4 d	18.4 d	17.8 	17.6 	17.4 	17.6 	17.4 	17.2 	17.0 
PC,B-S_X_O,CY	22.5 	21.8 	22.0 	19.5 	17.8 	16.8 	16.1 	15.6 	14.9 	14.2 	14.0 	13.9 
PC,B-S_X_O,CZ	22.1 	23.4 	23.6 	26.2 	25.9 	21.6 	22.6 	22.5 	22.3 	22.5 	22.5 	21.8 
PC,B-S_X_O,DE	: 	22.7 	22.8 	22.8 	22.6 	22.3 	22.4 	22.7 	22.1 	22.3 	22 p	21.5 p
PC,B-S_X_O,DK	: 	17.6 	17.7 	17.1 	16.8 	17.1 	16.4 	16.8 	16.5 	16.0 	15.1 	15.0 
PC,B-S_X_O,EA18	: 	: 	: 	: 	: 	17.0 	17.3 	17.6 	17.2 	16.9 	16.7 p	16.3 p
PC,B-S_X_O,EA19	: 	: 	: 	: 	: 	17.0 	17.3 	17.6 	17.1 	16.9 	16.7 p	16.3 p
PC,B-S_X_O,EE	: 	29.8 	30.9 	27.6 	26.6 	27.7 	27.3 	29.9 	29.8 	28.1 	26.9 	25.3 
PC,B-S_X_O,EL	25.5 	20.7 	21.5 	22 d	: 	15.0 	: 	: 	: 	12.5 	: 	: 
PC,B-S_X_O,ES	20.2 	17.9 	18.1 	16.1 	16.7 	16.2 	17.6 	18.7 	17.8 	14.9 	14.2 	14.2 p
PC,B-S_X_O,EU27	: 	17.7 	: 	17.3 	17.2 p	17.2 	17.2 	17.5 	16.9 	16.6 	16.6 p	16.3 p
PC,B-S_X_O,EU28	: 	: 	: 	: 	: 	17.1 	17.1 	17.4 	16.8 	16.6 	16.5 p	16.2 p
PC,B-S_X_O,FI	: 	21.3 	20.2 	20.5 	20.8 	20.3 	19.1 	19.2 	18.8 	18.4 	17.6 	17.4 p
PC,B-S_X_O,FR	: 	15.4 	17.3 	16.9 	15.2 	15.6 	15.7 	15.6 	15.5 	15.5 	15.3 	15.2 p
PC,B-S_X_O,HR	: 	: 	: 	: 	: 	5.7 	: 	: 	7.7 	8.7 	: 	: 
PC,B-S_X_O,HU	19.1 	14.4 	16.3 	17.5 	17.1 	17.6 	18.0 	20.1 	18.4 	15.1 	14.0 	14.0 
PC,B-S_X_O,IE	15.1 	17.2 	17.3 	12.6 	12.6 	13.9 	12.7 	12.2 	12.9 	13.9 	: 	: 
PC,B-S_X_O,IS	: 	: 	24.0 	20.7 	18.0 	17.7 	17.8 	17.7 	19.0 	16.7 	17.5 	16.3 
PC,B-S_X_O,IT	: 	4.4 	5.1 	4.9 	5.5 	5.3 	5.7 	6.5 	7.0 	6.1 	5.5 	5.3 
PC,B-S_X_O,LT	13.2 	17.1 	22.6 	21.6 	15.3 	11.9 b	11.5 	11.9 	12.2 	13.3 	14.2 	14.4 
PC,B-S_X_O,LU	: 	10.7 	10.2 	9.7 	9.2 	8.7 	7.9 	7.0 	6.2 	5.4 	5.5 	5.5 
PC,B-S_X_O,LV	: 	15.1 	13.6 	11.8 	13.1 	15.5 	14.1 	14.9 	16.0 	17.3 	17.0 	17.0 
PC,B-S_X_O,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.7 	: 	: 
PC,B-S_X_O,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.1 	: 	: 
PC,B-S_X_O,MT	: 	5.2 	7.8 	9.2 	7.7 	7.2 	7.7 	9.5 	9.7 	10.6 	10.4 	11.0 
PC,B-S_X_O,NL	18.7 	23.6 	19.3 	18.9 	18.5 	17.8 	18.6 	17.6 	16.5 	16.1 	16.1 	15.6 
PC,B-S_X_O,NO	: 	16.0 	15.6 	17.0 	16.5 	16.1 	15.7 	14.7 	15.5 	14.5 	16.2 	14.9 
PC,B-S_X_O,PL	7.5 	7.5 	14.9 	11.4 	8.0 	4.5 	5.5 	6.4 	7.1 	7.7 	7.4 	7.2 
PC,B-S_X_O,PT	: 	8.4 	8.5 	9.2 	10.0 	12.8 	12.9 	15.0 	13.3 	14.9 	17.8 	17.5 
PC,B-S_X_O,RO	16.0 	7.8 	12.5 d	8.5 d	7.4 d	8.8 	9.6 	6.9 	4.9 	4.5 	5.8 e	5.2 e
PC,B-S_X_O,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.7 	: 	: 
PC,B-S_X_O,SE	: 	16.5 	17.8 	16.9 	15.7 	15.4 	15.6 	15.5 	14.6 	13.8 	14.0 	13.3 
PC,B-S_X_O,SI	6.1 	8.0 	5.0 	4.1 	-0.9 	0.9 	3.3 	4.5 	6.3 	7.0 	8.1 	7.8 
PC,B-S_X_O,SK	27.7 	25.8 	23.6 	20.9 	21.9 	19.6 	20.1 	20.8 	18.8 	19.7 	19.6 	19.0 
PC,B-S_X_O,TR	: 	-2.2 	: 	: 	: 	: 	: 	: 	: 	-1.3 	: 	: 
PC,B-S_X_O,UK	27.3 	24.3 	20.8 	21.4 	20.6 	23.3 b	21.8 	22.6 	21.0 	20.9 	21.0 	21 p
