unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,CO,F3,LIAB,S11,AT	: 	-274.7 	633.4 	-238.9 	2065.2 	2046.0 	-396.8 	-876.8 	3507.3 	2871.6 	2640.7 	839.4 	2596.7 	1485.2 	3996.7 	891.1 	4255.5 	2714.9 	2184.7 	-505.7 	947.5 	968.4 	-1127.1 
MIO_NAC,CO,F3,LIAB,S11,BE	566.0 	1050.0 	359.9 	-2381.0 	959.9 	1944.7 	-1049.5 	-666.0 	1662.6 	2158.8 	-2992.7 	1697.8 	2523.5 	62.9 	28670.0 	848.7 	4103.9 	2264.0 	4177.4 	5699.2 	7354.4 	11901.2 	-816.7 
MIO_NAC,CO,F3,LIAB,S11,BG	0.0 	25.0 	-29.0 	11.0 	15.0 	213.0 	-92.0 	-50.0 	115.0 	132.0 	143.0 	1327.0 	-475.0 	233.0 	-426.0 	36.0 	114.0 	-143.0 	1745.0 	5.0 	-177.0 	1313.0 	233.0 
MIO_NAC,CO,F3,LIAB,S11,CY	0.4 	-3.4 	1.1 	-1.9 	16.6 	33.3 	-7.2 	-33.8 	14.0 	-42.3 	6.3 	-0.1 	-6.1 	-0.5 	4.9 	-1.5 	63.8 	-41.0 	57.6 	-10.5 	-73.4 	25.8 	14.8 
MIO_NAC,CO,F3,LIAB,S11,CZ	24370.0 	36802.0 	16007.0 	14516.0 	17656.0 	-4337.0 	-49212.0 	13513.0 	-1568.0 	-9730.0 	-18517.0 	18833.0 	12702.0 	35376.0 	35698.0 	45280.0 	-7167.0 	-13436.0 	66208.0 	39623.0 	-51873.0 	36784.0 	41830.0 
MIO_NAC,CO,F3,LIAB,S11,DE	-82775.0 	-4389.0 	-2959.0 	-3755.0 	1292.0 	9583.0 	9759.0 	5552.0 	27386.0 	2137.0 	3138.0 	5320.0 	12828.0 	7155.0 	-4078.0 	4185.0 	7570.0 	18720.0 	12777.0 	1260.0 	7782.0 	23706.0 	8555.0 
MIO_NAC,CO,F3,LIAB,S11,DK	4704.0 	7646.0 	10956.0 	-1342.0 	4085.0 	2766.0 	5838.0 	3095.0 	1882.0 	3483.0 	7972.0 	-5906.0 	-11988.0 	-7383.0 	18662.0 	2459.0 	10256.0 	32878.0 	13529.0 	1114.0 	16.0 	1205.0 	821.0 
MIO_NAC,CO,F3,LIAB,S11,EE	23.4 	54.2 	122.2 	-3.1 	-45.3 	12.1 	19.5 	299.1 	-64.9 	-5.0 	143.1 	-69.7 	6.2 	-199.2 	-66.6 	-114.1 	329.9 	302.1 	-31.9 	147.5 	30.5 	-4.5 	-23.0 
MIO_NAC,CO,F3,LIAB,S11,EL	-2513.8 	810.7 	-1343.6 	263.6 	-377.2 	3746.0 	160.7 	-103.6 	647.5 	2689.9 	3054.9 	3928.5 	4730.3 	8776.2 	-1453.5 	-3016.1 	-190.5 	-946.4 	728.6 	11.9 	-21.5 	96.6 	471.4 
MIO_NAC,CO,F3,LIAB,S11,ES	-2181.0 	-1989.0 	-1710.0 	-1391.0 	1806.0 	-2855.0 	-775.0 	-1738.0 	-1474.0 	480.0 	-631.0 	1666.0 	1390.0 	1580.0 	872.0 	-399.0 	506.0 	2320.0 	3726.0 	-22.0 	4720.0 	2292.0 	4724.0 
MIO_NAC,CO,F3,LIAB,S11,FI	-833.0 	-186.0 	333.0 	8.0 	471.0 	3307.0 	2119.0 	750.0 	2606.0 	-1072.0 	1192.0 	2044.0 	1031.0 	-1851.0 	4579.0 	542.0 	1234.0 	8392.0 	6532.0 	-5170.0 	-3738.0 	1584.0 	2211.0 
MIO_NAC,CO,F3,LIAB,S11,FR	0.0 	8077.0 	4671.0 	13312.0 	33553.0 	38922.0 	55706.0 	3699.0 	19726.0 	-7062.0 	-1836.0 	2112.0 	-1675.0 	25315.0 	49477.0 	23680.0 	26824.0 	51398.0 	20516.0 	45532.0 	24437.0 	41765.0 	20923.0 
MIO_NAC,CO,F3,LIAB,S11,HR	: 	: 	: 	: 	: 	: 	: 	2107.0 	56.7 	220.1 	-41.4 	1628.8 	3755.1 	340.6 	1191.2 	-173.9 	411.0 	8816.6 	-645.2 	-3995.9 	983.8 	451.1 	-2931.3 
MIO_NAC,CO,F3,LIAB,S11,HU	23203.0 	13877.0 	10402.0 	-130.0 	-4078.0 	-11138.0 	5644.0 	12497.0 	-8646.0 	-32567.0 	193863.0 	55413.0 	9247.0 	26928.0 	-16748.0 	188447.0 	34722.0 	-10556.0 	11420.0 	-6460.0 	-241119.0 	283987.0 	-148270.0 
MIO_NAC,CO,F3,LIAB,S11,IE	: 	: 	: 	: 	: 	: 	: 	397.0 	1690.0 	2423.0 	743.0 	202.0 	974.0 	-1647.0 	2254.0 	121.0 	49.0 	1653.0 	792.0 	-879.0 	881.0 	9372.0 	2085.0 
MIO_NAC,CO,F3,LIAB,S11,IT	-1566.0 	-628.0 	600.0 	1861.0 	-82.0 	-1891.0 	17083.0 	13071.0 	4138.0 	12660.0 	1359.0 	10281.0 	7738.0 	-3923.0 	11591.0 	21424.0 	9158.0 	12302.0 	19064.0 	4905.0 	-3834.0 	-5119.0 	22599.0 
MIO_NAC,CO,F3,LIAB,S11,LT	0.0 	0.0 	173.5 	-111.7 	-35.2 	8.6 	143.1 	-24.5 	-48.6 	-49.6 	1.5 	16.7 	17.1 	2.7 	27.8 	13.9 	-2.1 	-58.6 	40.1 	17.6 	8.2 	28.4 	398.9 
MIO_NAC,CO,F3,LIAB,S11,LU	: 	: 	: 	: 	366.0 	-97.7 	9.5 	1734.0 	1490.1 	443.6 	-1259.3 	374.6 	-270.8 	367.0 	6339.1 	3133.4 	961.9 	4481.0 	818.8 	-1899.6 	4125.4 	-3011.3 	-90.0 
MIO_NAC,CO,F3,LIAB,S11,LV	1.0 	1.0 	2.0 	3.0 	-3.0 	-5.0 	-1.0 	1.0 	53.0 	-39.0 	23.0 	8.9 	21.2 	-55.4 	-22.1 	-56.8 	27.7 	395.7 	-0.1 	-18.0 	81.0 	37.0 	-58.0 
MIO_NAC,CO,F3,LIAB,S11,MT	42.7 e	15.5 e	20.3 e	82.8 e	30.9 e	14.8 e	-5.6 e	-15.0 e	7.8 e	-46.4 	26.9 	-33.1 	9.5 	-18.6 	19.2 	-18.4 	-0.5 	-15.7 	-37.3 	62.7 	43.9 	208.0 	-0.4 
MIO_NAC,CO,F3,LIAB,S11,NL	-1068.0 	1024.0 	789.0 	10.0 	6535.0 	25189.0 	7277.0 	-4214.0 	-6586.0 	-4455.0 	-347.0 	2118.0 	1144.0 	4366.0 	13643.0 	-388.0 	3380.0 	8670.0 	558.0 	-3202.0 	7798.0 	32779.0 	4009.0 p
MIO_NAC,CO,F3,LIAB,S11,PL	86.0 	941.0 	-306.0 	4675.8 	4760.8 	5424.6 	1504.2 	-1749.9 	-2544.5 	1270.0 	-2690.0 	-4166.0 	11211.0 	-8106.0 	-456.0 	11680.0 	10182.0 	12231.0 	12088.0 	17282.0 	1617.0 	16003.0 	-4730.0 
MIO_NAC,CO,F3,LIAB,S11,PT	534.4 	1048.3 	169.0 	983.5 	2062.4 	401.3 	2420.4 	3473.5 	-2015.9 	2420.6 	4511.4 	1473.9 	4186.9 	4379.9 	1986.9 	1672.9 	-43.7 	1814.0 	3722.9 	-4086.5 	-519.3 	-686.8 	2047.3 
MIO_NAC,CO,F3,LIAB,S11,RO	0.9 e	31.6 e	4.3 e	1.2 	-54.9 	-461.5 	601.5 	1273.3 	-49.4 	-620.1 	90.5 	-255.2 	29.0 	6.6 	-13.0 	-22.9 	1859.3 	138.0 	-85.9 	26.8 	159.4 	-57.7 	-172.1 
MIO_NAC,CO,F3,LIAB,S11,SE	3589.0 	9698.0 	18651.0 	7455.0 	34824.0 	49931.0 	13463.0 	-11499.0 	-18682.0 	-24065.0 	19555.0 	-13112.0 	63129.0 	38198.0 	82203.0 	-23311.0 	31199.0 	62257.0 	29199.0 	-11545.0 	25343.0 	9436.0 	162141.0 
MIO_NAC,CO,F3,LIAB,S11,SI	-3.0 	2.0 	3.0 	9.0 	9.0 	24.0 	41.0 	-18.0 	-9.0 	92.0 	192.0 	-6.0 	27.0 	-9.0 	352.0 	-17.0 	-13.0 	56.0 	11.0 	265.0 	106.0 	-233.0 	96.0 
MIO_NAC,CO,F3,LIAB,S11,SK	917.2 	876.9 	1487.5 	370.2 	310.4 	153.1 	-345.1 	156.8 	166.8 	650.0 	-68.6 	-38.8 	13.3 	14.2 	-157.8 	472.4 	-199.3 	69.8 	2122.8 	2044.2 	-117.3 	1492.3 	879.2 
MIO_NAC,CO,F3,LIAB,S11,UK	12944.0 	6467.0 	16374.0 	21679.0 	42038.0 	51682.0 	14291.0 	24702.0 	19200.0 	-3220.0 	16268.0 	13710.0 	10169.0 	16677.0 	23800.0 	13404.0 	30434.0 	4669.0 	25850.0 	7591.0 	25107.0 	26372.0 	24844.0 
