na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1GQ,PCH_Q1_SCA,AT	0.6 	0.3 	0.7 	0.2 	0.4 	1.1 	0.7 	0.5 	0.7 	1.0 	0.9 	0.3 
B1GQ,PCH_Q1_SCA,BE	0.1 	0.5 	0.3 	0.7 	0.1 	0.3 	0.7 	0.5 	0.2 	0.5 	0.3 	0.4 
B1GQ,PCH_Q1_SCA,BG	1.2 	0.8 	1.1 	1.0 	0.7 	1.2 	0.9 	1.0 	0.9 	0.7 	0.9 p	0.8 p
B1GQ,PCH_Q1_SCA,CH	0.6 	0.4 	0.6 	0.3 	0.4 	-0.1 	0.4 	0.7 	0.7 	0.8 	1.0 	0.7 
B1GQ,PCH_Q1_SCA,CY	0.6 	0.9 	1.8 	1.0 	0.9 	1.8 	0.6 	1.0 	1.1 	1.0 	1.0 	0.8 
B1GQ,PCH_Q1_SCA,CZ	1.1 	0.7 	0.3 	0.3 	0.4 	0.8 	1.3 	2.3 	0.5 	0.7 	0.5 	0.7 
B1GQ,PCH_Q1_SCA,DE	0.3 	0.6 	0.9 	0.4 	0.2 	0.4 	1.1 	0.5 	0.6 	0.5 	0.4 	0.5 
B1GQ,PCH_Q1_SCA,DK	0.1 	-0.2 	1.1 	0.6 	0.5 	0.7 	2.4 	-1.1 	-0.9 	0.9 	0.4 	0.2 
B1GQ,PCH_Q1_SCA,EA	0.4 	0.5 	0.7 	0.3 	0.3 	0.8 	0.7 	0.7 	0.7 	0.7 	0.4 	0.4 
B1GQ,PCH_Q1_SCA,EA19	0.4 	0.5 	0.7 	0.3 	0.3 	0.8 	0.7 	0.7 	0.7 	0.7 	0.4 	0.4 
B1GQ,PCH_Q1_SCA,EE	0.1 	0.6 	1.3 	0.2 	1.8 	1.0 	1.4 	1.2 	0.2 	1.9 	0.2 	1.4 
B1GQ,PCH_Q1_SCA,EL	-1.6 p	1.7 p	-0.7 p	-0.3 p	0.5 p	-0.3 p	0.4 p	0.9 p	0.5 p	0.2 p	0.9 p	0.2 p
B1GQ,PCH_Q1_SCA,ES	1.0 	1.0 	0.7 p	0.7 p	0.8 p	0.6 p	0.8 p	0.9 p	0.6 p	0.7 p	0.6 p	0.6 p
B1GQ,PCH_Q1_SCA,EU28	0.5 	0.6 	0.6 	0.3 	0.4 	0.8 	0.7 	0.6 	0.6 	0.6 	0.4 	0.5 
B1GQ,PCH_Q1_SCA,FI	-0.1 	0.6 	0.9 	0.3 	1.1 	0.5 	1.0 	0.6 	0.2 	0.8 	1.2 	0.3 
B1GQ,PCH_Q1_SCA,FR	0.4 	0.2 	0.7 	-0.2 	0.2 	0.6 	0.8 	0.6 	0.7 	0.7 	0.2 	0.2 
B1GQ,PCH_Q1_SCA,HR	1.0 	0.0 	1.7 	0.6 	1.0 	0.8 	0.6 	0.8 	0.8 	0.1 	0.8 	1.1 
B1GQ,PCH_Q1_SCA,HU	0.7 	1.0 	-0.4 	1.3 	0.6 	0.8 	1.4 	1.1 	1.1 	1.3 	1.2 	1.0 
B1GQ,PCH_Q1_SCA,IE	1.4 	0.3 	1.9 	0.6 	-1.5 	10.0 	-4.8 	3.6 	4.2 	2.6 	-0.4 	2.5 
B1GQ,PCH_Q1_SCA,IT	0.3 	0.4 	0.3 	0.2 	0.3 	0.5 	0.5 	0.3 	0.4 	0.3 	0.3 	0.2 
B1GQ,PCH_Q1_SCA,LT	0.7 	0.1 	0.3 	0.7 	1.1 	1.4 	1.1 	0.8 	0.6 	1.3 	1.0 	0.9 
B1GQ,PCH_Q1_SCA,LU	-0.5 	2.0 	-0.8 	2.9 	0.2 	-0.8 	0.5 	0.2 	0.7 	1.4 	0.9 	0.0 
B1GQ,PCH_Q1_SCA,LV	1.0 	-0.4 	0.1 	0.4 	0.4 	1.7 	1.5 	1.4 	1.2 	0.7 	1.4 	1.0 
B1GQ,PCH_Q1_SCA,MT	1.3 	2.4 	0.1 	0.8 	1.7 	2.2 	1.8 	0.9 	2.6 	0.2 	0.9 	1.9 
B1GQ,PCH_Q1_SCA,NL	0.4 	0.1 	1.0 p	0.2 p	1.0 p	0.8 p	0.6 p	0.9 p	0.6 p	0.9 p	0.6 p	0.8 p
B1GQ,PCH_Q1_SCA,NO	1.2 	-0.9 	0.8 	-0.1 	-0.7 	1.8 	0.5 	0.8 	0.7 	0.1 	0.2 	0.4 
B1GQ,PCH_Q1_SCA,PL	1.2 	1.1 	-0.2 	1.3 	0.2 	2.0 	1.0 	0.9 	1.4 	1.0 	1.6 	1.0 
B1GQ,PCH_Q1_SCA,PT	0.1 	0.3 	0.4 	0.4 	1.1 	0.8 	0.7 	0.4 	0.6 	0.8 	0.4 	0.6 
B1GQ,PCH_Q1_SCA,RO	1.8 	1.2 	1.4 p	1.3 p	0.1 p	2.0 p	2.4 p	1.5 p	2.2 p	0.3 p	0.1 p	1.4 p
B1GQ,PCH_Q1_SCA,RS	0.0 	0.5 	1.4 	0.3 	0.3 	0.2 	0.1 p	0.6 p	1.5 p	0.5 p	1.7 p	0.8 p
B1GQ,PCH_Q1_SCA,SE	1.5 	1.1 	0.1 	0.3 	0.5 	0.5 	0.4 	1.1 	0.4 	0.7 	0.5 	0.8 
