indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
PRIN,MIG_NRG,NSA,I2015_NSA,AT	96.5 	98.3 	98.4 	98.5 	98.0 	97.6 	98.4 	100.0 	100.9 	101.5 	102.1 p	: 
PRIN,MIG_NRG,NSA,I2015_NSA,BE	112.2 	116.4 	115.9 	117.0 	115.3 	114.7 	114.4 	117.6 	119.9 	123.5 	125.8 	: 
PRIN,MIG_NRG,NSA,I2015_NSA,BG	103.0 	103.9 	103.9 	106.4 	105.5 	105.6 	106.2 	107.1 	107.4 	108.4 	108.5 	: 
PRIN,MIG_NRG,NSA,I2015_NSA,CH	97.3 	99.1 	98.5 	101.3 	100.8 	99.6 	101.4 	103.1 	103.8 	104.3 	104.4 	105.4 
PRIN,MIG_NRG,NSA,I2015_NSA,CY	95.2 	89.1 	88.9 	92.1 	92.2 	93.7 	94.2 	103.1 p	103.3 p	109.3 p	109.3 p	: 
PRIN,MIG_NRG,NSA,I2015_NSA,CZ	94.9 	95.7 	95.9 	98.1 	97.4 	97.4 	98.5 	100.7 	102.1 	102.2 	102.6 	103.3 
PRIN,MIG_NRG,NSA,I2015_NSA,DE	97.0 	97.9 	98.3 	98.6 	98.1 	98.1 	99.1 	100.5 	101.3 	102.1 	102.8 	104.9 
PRIN,MIG_NRG,NSA,I2015_NSA,DK	98.4 	105.7 	101.8 	106.0 	110.6 	112.1 	112.3 	117.9 	129.0 	132.9 	137.1 	132.5 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19	99.1 	101.4 	101.7 	102.3 	102.1 	101.7 	101.2 	103.8 	104.8 	107.3 	108.3 s	: 
PRIN,MIG_NRG,NSA,I2015_NSA,EE	100.2 	101.4 	99.9 	105.2 	112.4 	115.0 	109.1 	108.6 	119.0 	126.7 	128.4 	124.0 
PRIN,MIG_NRG,NSA,I2015_NSA,EL	97.0 	99.7 	99.6 	101.2 	98.7 	98.2 	102.0 	107.4 	106.1 	107.3 	107.4 	: 
PRIN,MIG_NRG,NSA,I2015_NSA,ES	99.9 	102.0 	102.3 	102.0 	101.6 	98.0 	100.2 	104.5 	107.2 p	108.8 p	110.6 p	: 
PRIN,MIG_NRG,NSA,I2015_NSA,EU28	101.9 	104.7 	105.1 	106.2 	105.5 	105.2 	105.6 	109.5 	110.9 	112.5 	113.6 s	: 
PRIN,MIG_NRG,NSA,I2015_NSA,FI	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
PRIN,MIG_NRG,NSA,I2015_NSA,FR	97.8 	105.1 	106.3 	105.6 	105.6 	105.6 	101.8 	103.8 	104.0 p	106.5 p	107.7 p	: 
PRIN,MIG_NRG,NSA,I2015_NSA,HR	94.9 	98.7 	98.1 	98.8 	97.3 	97.1 	99.1 	101.8 	102.3 	103.8 	103.8 	104.9 
PRIN,MIG_NRG,NSA,I2015_NSA,HU	97.7 	99.6 	99.2 	100.5 	101.1 	100.9 	100.9 	104.1 	106.5 	106.3 	107.8 	: 
PRIN,MIG_NRG,NSA,I2015_NSA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
PRIN,MIG_NRG,NSA,I2015_NSA,IT	98.4 	99.5 	99.4 	101.5 	102.1 	102.5 	100.4 	103.2 	103.8 	109.3 	110.6 p	: 
PRIN,MIG_NRG,NSA,I2015_NSA,LT	98.3 	101.1 	100.4 	101.6 	101.7 	100.4 	102.3 	105.2 	106.9 	108.7 	109.1 	111.5 p
PRIN,MIG_NRG,NSA,I2015_NSA,LU	76.6 	76.6 	76.6 	76.9 	76.9 	76.9 	76.9 	76.9 	76.9 	80.5 	80.5 	: 
PRIN,MIG_NRG,NSA,I2015_NSA,LV	92.4 	92.1 	92.1 	93.2 	94.2 	94.2 	96.1 	95.8 	99.3 	101.2 	105.9 	103.2 
PRIN,MIG_NRG,NSA,I2015_NSA,MK	101.3 	98.9 	98.1 	99.1 	99.1 	93.3 	93.8 	94.3 	93.7 	93.0 	93.4 	: 
PRIN,MIG_NRG,NSA,I2015_NSA,MT	96.0 	96.0 	96.0 	96.0 	96.0 	96.0 	96.0 	96.0 	96.0 p	96.0 p	96.0 p	: 
PRIN,MIG_NRG,NSA,I2015_NSA,NL	94.4 	99.0 	99.4 	97.6 	95.6 	97.3 	99.1 p	105.2 p	105.5 p	106.2 p	107.2 p	: 
PRIN,MIG_NRG,NSA,I2015_NSA,NO	117.1 	126.3 	131.9 	133.7 	137.5 	140.5 	139.0 	141.5 	156.9 	162.6 	162.3 	165.0 
PRIN,MIG_NRG,NSA,I2015_NSA,PL	105.7 	106.9 	106.9 	107.2 	106.1 	107.3 	109.1 	113.5 	113.8 	113.8 	114.6 	: 
PRIN,MIG_NRG,NSA,I2015_NSA,PT	103.3 	103.4 	102.4 	107.2 	105.9 	102.8 	104.1 	111.2 	113.1 	113.9 	114.5 	116.1 
PRIN,MIG_NRG,NSA,I2015_NSA,RO	96.6 	98.6 	97.3 	99.9 	99.5 	99.7 	100.4 	103.1 	104.0 	102.4 	105.3 p	: 
