indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,MIG_CAG,NSA,I2015_NSA,CH	100.6 	100.9 	100.9 	100.7 	100.7 	100.4 	101.4 	101.2 	101.2 	101.1 	101.1 	100.8 
IMPR,MIG_CAG,NSA,I2015_NSA,DE	97.5 	97.6 	97.5 	97.3 	97.3 	97.2 	97.2 	97.5 	97.7 	97.6 	97.7 	: 
IMPR,MIG_CAG,NSA,I2015_NSA,DK	98.3 	98.4 	98.2 	98.3 	97.8 	97.8 	98.1 	97.9 	98.6 	98.7 	98.7 	99.0 
IMPR,MIG_CAG,NSA,I2015_NSA,EA19	98.5 	98.5 	98.4 	98.5 	98.4 	98.4 	98.4 	98.7 	98.9 	98.9 	: 	: 
IMPR,MIG_CAG,NSA,I2015_NSA,EE	100.8 	100.7 	100.7 	100.4 	100.7 	100.7 	100.9 	101.2 	101.5 	101.4 	101.3 	101.4 
IMPR,MIG_CAG,NSA,I2015_NSA,EL	100.7 	100.7 	100.8 	100.8 	100.7 	100.8 	100.8 	100.8 	100.8 	100.8 	100.8 	: 
IMPR,MIG_CAG,NSA,I2015_NSA,ES	99.9 	100.1 	99.9 	99.8 	99.8 	99.8 	99.9 	100.2 	100.3 p	100.3 p	100.3 p	: 
IMPR,MIG_CAG,NSA,I2015_NSA,FI	100.8 	100.9 	100.9 	100.9 	100.9 	100.6 	100.5 	100.9 	100.7 	100.5 	100.6 	: 
IMPR,MIG_CAG,NSA,I2015_NSA,FR	98.9 	98.9 	98.8 	98.8 	98.8 	98.9 	99.0 	99.2 	99.5 p	99.6 p	99.5 p	: 
IMPR,MIG_CAG,NSA,I2015_NSA,IT	100.5 	100.5 	100.3 	100.4 	100.5 	100.3 	100.4 	100.1 	100.8 	101.1 	101.2 p	: 
IMPR,MIG_CAG,NSA,I2015_NSA,LT	99.6 	99.1 	99.4 	98.9 	98.7 	98.1 	98.5 	98.3 	97.8 	98.3 	: 	: 
IMPR,MIG_CAG,NSA,I2015_NSA,LV	95.1 	94.7 	95.7 	95.6 	95.6 	96.2 	95.7 	95.0 	94.8 	94.0 	94.6 	: 
IMPR,MIG_CAG,NSA,I2015_NSA,NL	96.8 	96.4 	96.7 	96.4 	95.7 	95.5 	95.1 p	96.0 p	96.0 p	95.6 p	96.1 p	: 
IMPR,MIG_CAG,NSA,I2015_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_CAG,NSA,I2015_NSA,SE	99.0 	99.4 	101.5 	101.4 	100.7 	102.1 	102.7 	104.6 	104.7 	105.5 	105.0 	: 
IMPR,MIG_CAG,NSA,I2015_NSA,SI	100.2 	100.1 	100.5 	99.5 	100.1 	100.1 	99.8 	100.0 	100.1 	100.2 	100.7 	: 
IMPR,MIG_CAG,NSA,I2015_NSA,SK	92.5 	92.5 	92.1 	98.8 	98.8 	98.2 	98.5 	99.1 	99.3 	99.4 	: 	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,CH	1.9 	2.3 	2.5 	2.3 	2.4 	2.0 	3.5 	3.4 	2.7 	2.3 	2.4 	2.0 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,DE	-0.9 	-1.0 	-1.2 	-1.4 	-1.3 	-1.5 	-1.3 	-0.7 	-0.3 	-0.2 	0.2 	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,DK	-0.8 	-0.8 	-1.4 	-2.0 	-2.2 	-2.1 	-1.3 	-1.9 	-0.6 	-0.5 	0.1 	0.7 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,EA19	-0.7 	-1.0 	-1.3 	-0.8 	-1.0 	-0.9 	-0.9 	-0.4 	-0.2 	0.0 	: 	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,EE	0.6 	0.3 	0.1 	-0.6 	-0.1 	0.0 	0.0 	0.1 	0.0 	0.4 	0.5 	0.6 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,EL	0.6 	0.6 	0.6 	0.6 	0.1 	0.3 	0.3 	0.3 	0.0 	0.0 	0.1 	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,ES	-0.5 	-0.4 	-0.9 	-0.9 	-1.0 	-1.0 	-1.0 	-0.4 	-0.2 p	0.1 p	0.3 p	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,FI	0.5 	0.4 	0.2 	0.1 	0.0 	-0.3 	-0.5 	0.4 	0.0 	-0.1 	0.3 	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,FR	0.4 	0.1 	-0.3 	-0.2 	-0.3 	-0.4 	-0.4 	-0.2 	0.2 p	0.5 p	0.4 p	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,IT	0.1 	0.1 	0.0 	0.2 	0.4 	0.3 	0.2 	-0.1 	-0.1 	0.5 	0.6 p	: 
IMPR,MIG_CAG,NSA,PCH_M12_NSA,LT	0.6 	-0.2 	0.3 	-0.9 	-0.8 	-1.5 	-0.6 	-1.1 	-1.8 	-1.2 	: 	: 
