indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,MIG_NDCOG,NSA,I2015_NSA,CH	100.5 	100.8 	101.3 	101.3 	101.3 	100.2 	100.1 	99.7 	100.2 	100.2 	100.5 	100.0 
IMPR,MIG_NDCOG,NSA,I2015_NSA,DE	100.4 	100.5 	100.3 	99.8 	99.9 	100.0 	100.2 	100.8 	100.9 	100.8 	101.0 	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,DK	98.4 	97.8 	97.5 	97.2 	97.3 	97.0 	96.8 	97.2 	98.1 	98.2 	98.1 	97.6 
IMPR,MIG_NDCOG,NSA,I2015_NSA,EA19	100.1 	100.2 	99.9 	99.3 	99.1 	99.2 	99.2 	99.6 	99.8 	99.7 	: 	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,EE	105.8 	106.2 	105.6 	104.5 	104.6 	104.5 	104.8 	104.7 	104.4 	104.1 	104.1 	104.7 
IMPR,MIG_NDCOG,NSA,I2015_NSA,EL	99.9 	99.6 	99.6 	99.5 	98.8 	98.9 	98.8 	98.9 	98.9 	99.0 	99.0 	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,ES	99.8 	100.0 	99.9 	99.2 	99.0 	99.1 	99.1 	99.8 	100.1 p	100.0 p	100.3 p	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,FI	101.5 	101.4 	100.9 	101.0 	101.2 	101.4 	101.4 	102.6 	102.8 	102.7 	102.7 	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,FR	99.7 	99.7 	99.3 	98.5 	98.5 	98.4 	98.3 	98.6 	98.9 p	98.9 p	99.1 p	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,IT	99.5 	99.3 	99.2 	98.8 	98.6 	98.9 	98.7 	98.4 	98.5 	98.6 	98.5 p	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,LT	100.3 	99.7 	99.4 	99.2 	98.8 	98.8 	98.7 	98.4 	98.6 	98.9 	: 	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,LV	98.0 	98.3 	97.7 	96.9 	97.6 	96.5 	96.5 	96.3 	96.7 	97.1 	96.8 	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,NL	98.5 	98.9 	98.4 	97.6 	97.2 	97.5 	97.4 p	98.7 p	99.1 p	98.5 p	98.6 p	: 
IMPR,MIG_NDCOG,NSA,I2015_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_NDCOG,NSA,I2015_NSA,SE	102.8 	103.3 	104.7 	104.0 	102.6 	103.6 	104.4 	106.4 	106.2 	106.7 	106.8 	: 
