indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,MIG_DCOG,NSA,I2015_NSA,CH	100.0 	99.9 	100.8 	101.2 	101.2 	100.7 	100.9 	101.0 	101.3 	102.0 	102.0 	101.7 
IMPR,MIG_DCOG,NSA,I2015_NSA,DE	97.8 	97.7 	97.7 	97.1 	96.7 	96.8 	96.9 	97.5 	97.9 	97.7 	97.7 	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,DK	98.3 	98.3 	98.5 	98.5 	97.9 	97.9 	98.1 	97.9 	98.9 	99.0 	99.1 	99.2 
IMPR,MIG_DCOG,NSA,I2015_NSA,EA19	98.3 	98.4 	98.3 	97.5 	97.2 	97.2 	97.0 	97.4 	97.6 	97.6 	: 	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,EE	100.1 	100.3 	99.6 	100.8 	98.4 	98.5 	98.9 	98.4 	98.6 	98.0 	97.4 	96.8 
IMPR,MIG_DCOG,NSA,I2015_NSA,EL	99.6 	99.6 	100.1 	100.0 	100.0 	100.0 	100.0 	100.1 	100.5 	100.6 	100.6 	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,ES	100.5 	100.5 	100.4 	99.6 	99.4 	99.3 	99.4 	100.2 	100.5 p	100.5 p	100.7 p	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,FI	98.4 	97.6 	97.5 	97.6 	97.2 	97.2 	96.9 	97.3 	97.9 	97.9 	97.4 	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,FR	97.7 	97.9 	97.7 	97.6 	97.4 	97.5 	97.5 	97.7 	97.6 p	97.5 p	97.5 p	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,IT	102.1 	102.5 	102.6 	102.2 	101.8 	101.3 	101.1 	101.1 	101.1 	101.4 	101.6 p	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,LT	96.7 	97.5 	97.1 	95.9 	96.4 	97.2 	96.2 	96.6 	96.7 	96.5 	: 	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,LV	99.8 	99.5 	98.1 	98.7 	99.2 	98.2 	100.3 	100.6 	99.9 	99.3 	98.0 	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,NL	97.9 	97.9 	98.0 	96.5 	96.2 	96.1 	96.4 p	96.7 p	96.7 p	96.5 p	96.7 p	: 
IMPR,MIG_DCOG,NSA,I2015_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
