indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
PRIN,MIG_DCOG,NSA,I2015_NSA,AT	100.7 	100.6 	100.6 	100.7 	100.5 	100.7 	100.9 	101.2 	101.3 	101.2 	101.3 p	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,BE	103.2 	103.2 	103.2 	103.6 	103.8 	103.9 	104.2 	104.2 	104.9 	105.3 	105.8 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,BG	103.5 	103.2 	103.6 	103.6 	103.6 	104.3 	104.9 	105.0 	105.7 	105.3 	105.7 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,CH	98.2 	98.2 	98.2 	98.6 	98.6 	98.6 	98.6 	98.6 	98.6 	98.8 	98.8 	98.8 
PRIN,MIG_DCOG,NSA,I2015_NSA,CY	100.7 	101.0 	101.0 	101.5 	101.4 	101.9 	101.9 	102.1 	101.7 	101.1 	101.0 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ	98.8 	98.6 	98.7 	99.1 	99.1 	99.3 	100.0 	100.6 	100.7 	100.8 	100.6 	100.8 
PRIN,MIG_DCOG,NSA,I2015_NSA,DE	102.5 	102.5 	102.6 	103.2 	103.3 	103.4 	103.6 	103.8 	103.9 	104.0 	104.0 	104.1 
PRIN,MIG_DCOG,NSA,I2015_NSA,DK	103.4 	103.4 	103.4 	103.7 	103.7 	103.9 	104.3 	104.2 	104.6 	104.9 	104.8 	104.8 
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19	101.7 	101.8 	101.9 	102.2 	102.3 	102.4 	102.5 	102.6 	102.7 	102.7 	102.9 s	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,EE	103.3 	102.5 	103.5 	107.5 	107.7 	107.6 	108.0 	107.5 	107.1 	109.1 	107.9 	107.9 
PRIN,MIG_DCOG,NSA,I2015_NSA,EL	100.7 	100.7 	100.6 	100.6 	100.6 	100.6 	100.6 	100.7 	100.7 	101.3 	101.3 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,ES	101.4 	101.4 	101.6 	101.7 	102.0 	102.2 	102.3 	102.5 	102.5 p	102.4 p	102.5 p	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,EU28	102.2 	102.3 	102.4 	102.7 	102.7 	102.9 	103.0 	103.3 	103.4 	103.5 	103.6 s	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,FI	103.9 	103.9 	105.2 	105.2 	105.3 	105.4 	105.6 	105.6 	105.8 	106.0 	106.0 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,FR	100.5 	100.5 	100.3 	100.6 	100.5 	100.8 	100.7 	100.9 	100.6 p	100.5 p	100.6 p	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,HR	100.0 	100.0 	100.0 	100.3 	98.9 	99.0 	99.1 	99.1 	99.2 	99.3 	99.4 	99.4 
PRIN,MIG_DCOG,NSA,I2015_NSA,HU	105.8 	106.0 	105.7 	105.4 	106.5 	106.9 	107.9 	108.6 	108.8 	109.3 	109.7 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
PRIN,MIG_DCOG,NSA,I2015_NSA,IT	100.7 	100.8 	100.8 	101.0 	100.9 	101.0 	101.0 	101.1 	101.2 	101.1 	101.3 p	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,LT	102.5 	102.6 	102.6 	103.1 	107.5 	107.6 	107.7 	107.8 	108.0 	109.3 	110.7 	110.4 p
PRIN,MIG_DCOG,NSA,I2015_NSA,LV	99.6 	99.6 	99.9 	100.5 	100.4 	100.7 	100.3 	101.0 	101.4 	101.6 	100.7 	102.3 
PRIN,MIG_DCOG,NSA,I2015_NSA,MK	102.5 	102.6 	102.6 	104.1 	104.1 	104.0 	104.3 	104.1 	104.1 	104.1 	104.1 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,MT	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 p	100.0 p	100.0 p	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,NL	103.6 	103.7 	103.7 	105.1 	105.1 	105.3 	105.4 p	105.5 p	105.6 p	106.3 p	106.2 p	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,NO	103.0 	103.4 	103.2 	105.2 	104.6 	104.8 	106.4 	107.0 	106.0 	105.6 	106.1 	105.8 
PRIN,MIG_DCOG,NSA,I2015_NSA,PL	100.0 	100.8 	101.0 	101.4 	101.6 	101.8 	101.7 	101.6 	102.3 	102.4 	102.4 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,PT	100.3 	100.4 	100.7 	100.8 	99.6 	99.3 	99.9 	100.6 	100.5 	100.3 	100.3 	: c
PRIN,MIG_DCOG,NSA,I2015_NSA,RO	108.7 	109.1 	109.2 	110.0 	110.5 	110.7 	110.8 	111.0 	111.5 	112.7 	113.0 p	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,RS	99.3 	99.3 	99.0 	98.9 	98.9 	98.6 	96.0 	95.9 	95.9 	95.9 	95.9 	96.0 
PRIN,MIG_DCOG,NSA,I2015_NSA,SE	104.6 	104.4 	105.6 	103.8 	105.4 	106.5 	106.9 	106.5 	107.1 	106.3 	105.9 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,SI	99.7 	100.9 	102.1 	101.1 	101.0 	101.0 	101.9 	101.2 	99.2 	100.7 	100.9 	101.0 
PRIN,MIG_DCOG,NSA,I2015_NSA,SK	102.9 	102.5 	102.6 	102.6 	102.3 	102.3 	102.5 	101.8 	101.8 	102.0 	102.1 	: 
PRIN,MIG_DCOG,NSA,I2015_NSA,TR	130.4 	133.2 	134.3 	137.0 	138.1 	139.1 	142.3 	145.0 	148.4 	150.0 	158.4 	170.5 
PRIN,MIG_DCOG,NSA,I2015_NSA,UK	105.1 	105.5 	105.2 	105.2 	105.4 	105.6 	105.6 	107.0 	107.1 	107.0 	107.4 	107.1 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,AT	0.5 	0.3 	0.3 	0.3 	0.1 	0.2 	0.4 	0.6 	0.6 	0.8 	0.6 p	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,BE	1.3 	1.3 	1.3 	1.7 	1.6 	1.6 	1.6 	1.4 	2.0 	2.3 	2.7 	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,BG	1.7 	1.4 	1.8 	1.7 	1.8 	2.7 	2.9 	2.9 	3.4 	2.7 	2.8 	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,CH	-0.4 	-0.4 	-0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.7 	0.7 	0.7 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,CY	0.5 	0.7 	0.8 	0.9 	0.6 	1.8 	1.8 	2.0 	1.7 	0.9 	0.8 	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,CZ	-1.3 	-1.6 	-1.4 	-0.6 	-0.4 	-0.4 	0.5 	1.2 	1.5 	1.7 	1.7 	1.8 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,DE	1.3 	1.3 	1.3 	1.4 	1.4 	1.4 	1.5 	1.6 	1.7 	1.7 	1.7 	1.7 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,DK	1.0 	1.0 	1.0 	1.7 	0.9 	1.4 	1.3 	0.9 	1.0 	1.3 	1.4 	1.5 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,EA19	0.6 	0.8 	0.8 	0.9 	1.0 	0.9 	0.9 	1.1 	1.1 	1.2 	1.3 s	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,EE	4.0 	2.0 	3.0 	6.9 	8.4 	8.1 	8.4 	6.5 	6.7 	7.7 	5.8 	5.3 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,EL	0.8 	0.5 	0.2 	0.3 	0.1 	0.0 	-0.2 	-0.1 	0.0 	0.6 	0.4 	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,ES	0.0 	0.0 	0.2 	0.7 	1.0 	1.1 	1.0 	1.3 	1.3 p	1.2 p	1.2 p	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,EU28	1.0 	1.1 	1.1 	1.2 	1.1 	1.1 	0.9 	1.3 	1.3 	1.5 	1.6 s	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,FI	2.6 	2.6 	3.8 	3.7 	3.9 	2.9 	3.0 	3.1 	3.3 	3.4 	3.3 	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,FR	0.0 	0.6 	0.5 	0.5 	0.3 	0.8 	0.3 	0.5 	-0.1 p	-0.1 p	-0.1 p	: 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,HR	0.2 	0.2 	0.2 	0.5 	-0.8 	-0.8 	-0.9 	-0.9 	-0.8 	-0.6 	-0.5 	-0.6 
PRIN,MIG_DCOG,NSA,PCH_M12_NSA,HU	4.8 	4.1 	2.8 	2.3 	3.2 	3.5 	3.9 	4.2 	4.3 	4.5 	5.0 	: 
