unit,s_adj,asset10,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CLV_PCH_SM,SCA,N111G,AT	1.5 	2.5 	3.2 	2.7 	2.3 	1.2 	2.4 	5.5 	2.9 	4.5 	2.6 	2.0 
CLV_PCH_SM,SCA,N111G,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_SM,SCA,N111G,BG	-8.6 	-4.1 	107.3 	106.8 	98.9 	99.8 	12.3 	19.6 	18.2 	23.2 	19.1 p	14.5 p
CLV_PCH_SM,SCA,N111G,CY	-1.4 	5.2 	-1.8 	13.7 	31.9 	39.9 	37.6 	30.9 	19.6 	16.9 	12.9 	9.8 
CLV_PCH_SM,SCA,N111G,CZ	22.5 	20.8 	0.2 	4.7 	2.0 	12.5 	4.8 	5.5 	9.8 	0.3 	13.6 	11.7 
CLV_PCH_SM,SCA,N111G,DE	-0.8 	0.9 	4.5 	4.9 	5.0 	4.4 	3.0 	4.7 	4.5 	2.9 	3.8 	2.7 
CLV_PCH_SM,SCA,N111G,DK	12.3 	10.1 	13.1 	12.6 	3.0 	0.9 	5.9 	6.8 	10.7 	11.1 	12.2 	9.8 
CLV_PCH_SM,SCA,N111G,EA	0.5 	1.5 	3.4 	4.9 	5.4 	5.8 	5.1 	5.2 	4.7 	4.7 	4.7 	4.0 
CLV_PCH_SM,SCA,N111G,EA19	0.5 	1.5 	3.4 	4.9 	5.4 	5.8 	5.1 	5.2 	4.7 	4.7 	4.7 	4.0 
CLV_PCH_SM,SCA,N111G,EE	25.8 	23.6 	15.7 	51.5 	7.8 	1.8 	10.5 	-14.3 	12.8 	2.9 	5.3 	35.0 
CLV_PCH_SM,SCA,N111G,EL	-34.1 	-15.9 	-16.3 	-23.6 	-2.8 	-2.7 	-11.1 	-5.4 	-7.2 p	-11.1 p	10.9 p	5.1 p
CLV_PCH_SM,SCA,N111G,ES	-0.2 	2.8 	5.7 p	6.7 p	7.4 p	8.0 p	7.8 p	9.2 p	9.7 p	9.2 p	9.3 p	7.0 p
CLV_PCH_SM,SCA,N111G,EU28	1.7 	3.4 	4.8 	5.6 	6.1 	5.8 	6.2 	6.1 	5.6 	5.6 	5.0 	4.1 
CLV_PCH_SM,SCA,N111G,FI	3.7 	8.0 	10.9 	11.3 	10.9 	9.1 	6.2 	5.8 	5.5 	6.0 	8.6 	8.5 
CLV_PCH_SM,SCA,N111G,FR	-1.2 	0.4 	1.6 	2.7 	3.2 	2.8 	4.2 	3.3 	3.1 	3.3 	2.5 	2.5 
CLV_PCH_SM,SCA,N111G,IE	6.4 	12.1 	14.9 	27.9 	24.0 	19.1 	22.3 	15.4 	15.9 	25.0 	15.6 	15.8 
