indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,MIG_ING,NSA,I2015_NSA,CH	104.2 	105.3 	105.5 	106.2 	107.3 	107.2 	107.5 	109.6 	109.4 	109.2 	109.0 	108.6 
IMPR,MIG_ING,NSA,I2015_NSA,DE	102.2 	102.5 	102.6 	103.4 	103.5 	103.5 	103.7 	104.6 	105.4 	105.3 	105.1 	: 
IMPR,MIG_ING,NSA,I2015_NSA,DK	101.8 	102.5 	102.5 	103.4 	103.8 	103.7 	104.0 	103.9 	104.6 	104.9 	104.9 	104.7 
IMPR,MIG_ING,NSA,I2015_NSA,EA19	101.6 	101.8 	101.9 	102.3 	102.4 	102.5 	102.7 	103.4 	104.0 	103.9 	: 	: 
IMPR,MIG_ING,NSA,I2015_NSA,EE	101.9 	102.5 	102.4 	103.0 	103.4 	103.6 	103.6 	104.8 	106.2 	105.9 	106.2 	106.3 
IMPR,MIG_ING,NSA,I2015_NSA,EL	100.4 	100.5 	100.8 	100.8 	100.7 	100.9 	100.9 	101.2 	101.4 	101.3 	101.4 	: 
IMPR,MIG_ING,NSA,I2015_NSA,ES	102.3 	102.7 	102.8 	102.9 	103.0 	103.1 	103.3 	104.1 	104.6 p	105.0 p	105.2 p	: 
IMPR,MIG_ING,NSA,I2015_NSA,FI	100.8 	101.2 	101.4 	101.7 	102.4 	102.8 	103.7 	104.7 	105.1 	105.0 	105.1 	: 
IMPR,MIG_ING,NSA,I2015_NSA,FR	101.4 	101.2 	101.3 	101.4 	101.4 	101.6 	102.0 	102.4 	103.1 p	103.0 p	103.0 p	: 
IMPR,MIG_ING,NSA,I2015_NSA,IT	99.6 	99.8 	100.0 	100.1 	100.1 	100.4 	100.5 	100.7 	101.2 	101.6 	101.8 p	: 
IMPR,MIG_ING,NSA,I2015_NSA,LT	99.3 	99.4 	99.7 	100.3 	100.5 	100.7 	100.9 	101.5 	102.1 	102.1 	: 	: 
IMPR,MIG_ING,NSA,I2015_NSA,LV	97.9 	98.8 	98.7 	98.7 	98.5 	98.9 	98.8 	99.2 	99.9 	99.7 	100.0 	: 
IMPR,MIG_ING,NSA,I2015_NSA,NL	102.2 	102.9 	103.0 	103.3 	103.2 	103.5 	103.7 p	104.5 p	105.2 p	105.2 p	105.7 p	: 
IMPR,MIG_ING,NSA,I2015_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,MIG_ING,NSA,I2015_NSA,SE	103.3 	104.5 	107.1 	108.6 	108.1 	110.0 	111.5 	114.4 	115.3 	116.1 	116.3 	: 
IMPR,MIG_ING,NSA,I2015_NSA,SI	102.3 	103.1 	103.2 	103.7 	103.8 	103.9 	104.9 	105.4 	106.2 	105.9 	106.8 	: 
IMPR,MIG_ING,NSA,I2015_NSA,SK	102.3 	102.9 	104.2 	104.5 	104.7 	104.4 	104.3 	105.3 	105.7 	105.9 	: 	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,CH	6.5 	7.9 	7.2 	7.7 	8.1 	7.7 	8.0 	9.5 	9.4 	9.2 	6.8 	5.5 
IMPR,MIG_ING,NSA,PCH_M12_NSA,DE	5.3 	4.2 	3.2 	2.6 	1.2 	0.6 	0.6 	2.1 	3.7 	4.3 	4.1 	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,DK	3.7 	3.9 	3.2 	3.2 	2.9 	2.0 	2.1 	2.1 	3.2 	3.8 	3.8 	3.4 
IMPR,MIG_ING,NSA,PCH_M12_NSA,EA19	4.4 	3.7 	2.8 	2.0 	0.8 	0.4 	0.3 	1.6 	2.8 	3.3 	: 	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,EE	3.7 	4.1 	3.7 	3.3 	2.4 	2.8 	2.3 	4.1 	4.6 	4.6 	5.6 	5.1 
IMPR,MIG_ING,NSA,PCH_M12_NSA,EL	1.9 	1.7 	1.6 	1.4 	0.7 	0.7 	0.9 	1.4 	1.6 	1.4 	1.3 	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,ES	4.2 	3.3 	2.1 	1.4 	0.7 	0.5 	0.3 	1.5 	2.2 p	3.3 p	3.6 p	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,FI	3.8 	3.1 	2.4 	2.3 	1.3 	0.8 	1.9 	3.7 	4.6 	4.8 	4.8 	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,FR	4.4 	3.4 	2.7 	2.0 	0.9 	0.3 	0.5 	1.4 	2.6 p	2.9 p	2.7 p	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,IT	3.3 	3.2 	2.9 	2.1 	0.9 	0.6 	0.2 	0.4 	1.4 	2.2 	2.7 p	: 
IMPR,MIG_ING,NSA,PCH_M12_NSA,LT	3.4 	3.3 	3.3 	2.2 	1.8 	1.3 	1.0 	1.6 	2.5 	2.9 	: 	: 
