unit,bop_item,stk_flow,partner,geo\time,date,value
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,1995-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,1996-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,1997-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,1998-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,1999-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2000-01-01,-8.88 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2001-01-01,-0.59 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2002-01-01,9.25 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2003-01-01,9.10 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2004-01-01,12.69 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2005-01-01,21.76 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2006-01-01,12.92 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2007-01-01,11.48 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2008-01-01,6.32 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2009-01-01,1.85 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2010-01-01,-5.45 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2011-01-01,-4.45 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2012-01-01,-12.33 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2013-01-01,-12.57
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2014-01-01,-10.07
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2015-01-01,-8.13
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2016-01-01,-6.67
PCH_OECD_5Y,GS,CRE,WRL_REST,AT,2017-01-01,-2.27
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,1995-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,1996-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,1997-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,1998-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,1999-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2000-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2001-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2002-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2003-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2004-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2005-01-01,2.89 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2006-01-01,-3.97 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2007-01-01,2.36 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2008-01-01,-0.93 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2009-01-01,-1.33 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2010-01-01,-4.15 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2011-01-01,0.82 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2012-01-01,-5.42 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2013-01-01,-6.81
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2014-01-01,-7.57
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2015-01-01,-10.89
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2016-01-01,-5.04
PCH_OECD_5Y,GS,CRE,WRL_REST,BE,2017-01-01,-0.81
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,1995-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,1996-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,1997-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,1998-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,1999-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2000-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2001-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2002-01-01,: 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2003-01-01,38.04 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2004-01-01,64.44 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2005-01-01,53.80 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2006-01-01,59.78 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2007-01-01,59.88 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2008-01-01,50.87 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG,2009-01-01,29.22 
