unit,s_adj,bop_item,stk_flow,partner,geotime,date,value
PC_GDP,NSA,CA,CRE,WRL_REST,AT,1995-01-01,37
PC_GDP,NSA,CA,CRE,WRL_REST,AT,1996-01-01,38
PC_GDP,NSA,CA,CRE,WRL_REST,AT,1997-01-01,42
PC_GDP,NSA,CA,CRE,WRL_REST,AT,1998-01-01,44
PC_GDP,NSA,CA,CRE,WRL_REST,AT,1999-01-01,45
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2000-01-01,50
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2001-01-01,52
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2002-01-01,53
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2003-01-01,52
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2004-01-01,55
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2005-01-01,58
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2006-01-01,63
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2007-01-01,66
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2008-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2009-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2010-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2011-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2012-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2013-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2014-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2015-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2016-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,AT,2017-01-01,62
PC_GDP,NSA,CA,CRE,WRL_REST,BE,1995-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,BE,1996-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,BE,1997-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,BE,1998-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,BE,1999-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,BE,2000-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,BE,2001-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,BE,2002-01-01,
PC_GDP,NSA,CA,CRE,WRL_REST,BE,2003-01-01,83
