unit,indic_eu,geotime,date,value
PC_GDP,T2020_20,AT,1990-01-01,
PC_GDP,T2020_20,AT,1991-01-01,
PC_GDP,T2020_20,AT,1992-01-01,
PC_GDP,T2020_20,AT,1993-01-01,
PC_GDP,T2020_20,AT,1994-01-01,
PC_GDP,T2020_20,AT,1995-01-01,1
PC_GDP,T2020_20,AT,1996-01-01,1
PC_GDP,T2020_20,AT,1997-01-01,1
PC_GDP,T2020_20,AT,1998-01-01,1
PC_GDP,T2020_20,AT,1999-01-01,1
PC_GDP,T2020_20,AT,2000-01-01,1
PC_GDP,T2020_20,AT,2001-01-01,1
PC_GDP,T2020_20,AT,2002-01-01,2
PC_GDP,T2020_20,AT,2003-01-01,2
PC_GDP,T2020_20,AT,2004-01-01,2
PC_GDP,T2020_20,AT,2005-01-01,2
PC_GDP,T2020_20,AT,2006-01-01,2
PC_GDP,T2020_20,AT,2007-01-01,2
PC_GDP,T2020_20,AT,2008-01-01,2
PC_GDP,T2020_20,AT,2009-01-01,2
PC_GDP,T2020_20,AT,2010-01-01,2
PC_GDP,T2020_20,AT,2011-01-01,2
PC_GDP,T2020_20,AT,2012-01-01,2
PC_GDP,T2020_20,AT,2013-01-01,2
PC_GDP,T2020_20,AT,2014-01-01,3
PC_GDP,T2020_20,AT,2015-01-01,3
PC_GDP,T2020_20,AT,2016-01-01,3
PC_GDP,T2020_20,BA,1990-01-01,
PC_GDP,T2020_20,BA,1991-01-01,
PC_GDP,T2020_20,BA,1992-01-01,
PC_GDP,T2020_20,BA,1993-01-01,
PC_GDP,T2020_20,BA,1994-01-01,
PC_GDP,T2020_20,BA,1995-01-01,
PC_GDP,T2020_20,BA,1996-01-01,
PC_GDP,T2020_20,BA,1997-01-01,
PC_GDP,T2020_20,BA,1998-01-01,
PC_GDP,T2020_20,BA,1999-01-01,
PC_GDP,T2020_20,BA,2000-01-01,
PC_GDP,T2020_20,BA,2001-01-01,
PC_GDP,T2020_20,BA,2002-01-01,
PC_GDP,T2020_20,BA,2003-01-01,
PC_GDP,T2020_20,BA,2004-01-01,
PC_GDP,T2020_20,BA,2005-01-01,
PC_GDP,T2020_20,BA,2006-01-01,
PC_GDP,T2020_20,BA,2007-01-01,
PC_GDP,T2020_20,BA,2008-01-01,
PC_GDP,T2020_20,BA,2009-01-01,
PC_GDP,T2020_20,BA,2010-01-01,
PC_GDP,T2020_20,BA,2011-01-01,
