unit,nace_r2,na_item,geotime,date,value
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2015-07-01,7
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2015-10-01,5
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2016-01-01,6
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2016-04-01,4
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2016-07-01,1
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2016-10-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2017-01-01,3
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2017-04-01,4
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2017-07-01,4
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2017-10-01,2
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2018-01-01,8
PCH_SAME_PERS_NSA,A,EMP_DC,AT,2018-04-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2015-07-01,1
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2015-10-01,2
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2016-01-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2016-04-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2016-07-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2016-10-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2017-01-01,1
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2017-04-01,2
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2017-07-01,3
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2017-10-01,4
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2018-01-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BE,2018-04-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2015-07-01,6
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2015-10-01,2
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2016-01-01,1
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2016-04-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2016-07-01,9
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2016-10-01,2
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2017-01-01,4
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2017-04-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2017-07-01,14
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2017-10-01,8
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2018-01-01,5
PCH_SAME_PERS_NSA,A,EMP_DC,BG,2018-04-01,5
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2015-07-01,2
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2015-10-01,3
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2016-01-01,3
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2016-04-01,2
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2016-07-01,1
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2016-10-01,7
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2017-01-01,13
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2017-04-01,6
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2017-07-01,1
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2017-10-01,2
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2018-01-01,0
PCH_SAME_PERS_NSA,A,EMP_DC,CH,2018-04-01,1
