unit,asset10,geo\time,date,value
PC_GDP,N111G,AT,1995-01-01,6.5
PC_GDP,N111G,AT,1996-01-01,6.5
PC_GDP,N111G,AT,1997-01-01,6.3
PC_GDP,N111G,AT,1998-01-01,6.0
PC_GDP,N111G,AT,1999-01-01,5.7
PC_GDP,N111G,AT,2000-01-01,5.3
PC_GDP,N111G,AT,2001-01-01,4.9
PC_GDP,N111G,AT,2002-01-01,4.6
PC_GDP,N111G,AT,2003-01-01,4.4
PC_GDP,N111G,AT,2004-01-01,4.4
PC_GDP,N111G,AT,2005-01-01,4.4
PC_GDP,N111G,AT,2006-01-01,4.3
PC_GDP,N111G,AT,2007-01-01,4.3
PC_GDP,N111G,AT,2008-01-01,4.4
PC_GDP,N111G,AT,2009-01-01,4.3
PC_GDP,N111G,AT,2010-01-01,4.3
PC_GDP,N111G,AT,2011-01-01,4.4 
PC_GDP,N111G,AT,2012-01-01,4.3 
PC_GDP,N111G,AT,2013-01-01,4.3 
PC_GDP,N111G,AT,2014-01-01,4.3 
PC_GDP,N111G,AT,2015-01-01,4.3 
PC_GDP,N111G,AT,2016-01-01,4.3 
PC_GDP,N111G,AT,2017-01-01,4.4 
PC_GDP,N111G,BE,1995-01-01,5.9
PC_GDP,N111G,BE,1996-01-01,5.4
PC_GDP,N111G,BE,1997-01-01,5.7
PC_GDP,N111G,BE,1998-01-01,5.3
PC_GDP,N111G,BE,1999-01-01,5.3
PC_GDP,N111G,BE,2000-01-01,5.2
PC_GDP,N111G,BE,2001-01-01,5.0
PC_GDP,N111G,BE,2002-01-01,4.7
PC_GDP,N111G,BE,2003-01-01,4.9
PC_GDP,N111G,BE,2004-01-01,5.2
PC_GDP,N111G,BE,2005-01-01,5.8
PC_GDP,N111G,BE,2006-01-01,6.2
PC_GDP,N111G,BE,2007-01-01,6.3
PC_GDP,N111G,BE,2008-01-01,6.5
PC_GDP,N111G,BE,2009-01-01,6.1
PC_GDP,N111G,BE,2010-01-01,6.1
PC_GDP,N111G,BE,2011-01-01,5.8 
PC_GDP,N111G,BE,2012-01-01,5.9 
PC_GDP,N111G,BE,2013-01-01,5.7 
PC_GDP,N111G,BE,2014-01-01,5.9 
PC_GDP,N111G,BE,2015-01-01,5.8 
PC_GDP,N111G,BE,2016-01-01,5.9 
PC_GDP,N111G,BE,2017-01-01,5.9 
PC_GDP,N111G,BG,1995-01-01,1.4
PC_GDP,N111G,BG,1996-01-01,0.4
PC_GDP,N111G,BG,1997-01-01,0.8
PC_GDP,N111G,BG,1998-01-01,1.2
PC_GDP,N111G,BG,1999-01-01,1.5
PC_GDP,N111G,BG,2000-01-01,1.5
PC_GDP,N111G,BG,2001-01-01,1.8
PC_GDP,N111G,BG,2002-01-01,2.0
PC_GDP,N111G,BG,2003-01-01,2.0
PC_GDP,N111G,BG,2004-01-01,2.0
PC_GDP,N111G,BG,2005-01-01,3.0
PC_GDP,N111G,BG,2006-01-01,5.6
PC_GDP,N111G,BG,2007-01-01,5.0
PC_GDP,N111G,BG,2008-01-01,5.8
PC_GDP,N111G,BG,2009-01-01,4.7
PC_GDP,N111G,BG,2010-01-01,2.7
PC_GDP,N111G,BG,2011-01-01,2.2 
PC_GDP,N111G,BG,2012-01-01,1.7 
PC_GDP,N111G,BG,2013-01-01,1.7 
PC_GDP,N111G,BG,2014-01-01,1.6 
PC_GDP,N111G,BG,2015-01-01,1.4 
PC_GDP,N111G,BG,2016-01-01,2.7 
PC_GDP,N111G,BG,2017-01-01,2.9 
PC_GDP,N111G,CY,1995-01-01,8.0
PC_GDP,N111G,CY,1996-01-01,8.6
PC_GDP,N111G,CY,1997-01-01,7.9
PC_GDP,N111G,CY,1998-01-01,7.1
PC_GDP,N111G,CY,1999-01-01,6.9
PC_GDP,N111G,CY,2000-01-01,6.7
PC_GDP,N111G,CY,2001-01-01,6.4
PC_GDP,N111G,CY,2002-01-01,6.8
PC_GDP,N111G,CY,2003-01-01,8.0
PC_GDP,N111G,CY,2004-01-01,8.9
PC_GDP,N111G,CY,2005-01-01,10.3
PC_GDP,N111G,CY,2006-01-01,11.9
PC_GDP,N111G,CY,2007-01-01,12.3
PC_GDP,N111G,CY,2008-01-01,12.1
PC_GDP,N111G,CY,2009-01-01,9.8
PC_GDP,N111G,CY,2010-01-01,8.1
PC_GDP,N111G,CY,2011-01-01,6.2 
PC_GDP,N111G,CY,2012-01-01,4.9 
PC_GDP,N111G,CY,2013-01-01,4.1 
PC_GDP,N111G,CY,2014-01-01,4.1 
PC_GDP,N111G,CY,2015-01-01,4.2 
PC_GDP,N111G,CY,2016-01-01,4.9 p
PC_GDP,N111G,CY,2017-01-01,5.7 p
PC_GDP,N111G,CZ,1995-01-01,2.4
PC_GDP,N111G,CZ,1996-01-01,2.8
PC_GDP,N111G,CZ,1997-01-01,3.0
PC_GDP,N111G,CZ,1998-01-01,3.3
PC_GDP,N111G,CZ,1999-01-01,3.3
PC_GDP,N111G,CZ,2000-01-01,3.5
PC_GDP,N111G,CZ,2001-01-01,3.2
PC_GDP,N111G,CZ,2002-01-01,3.1
PC_GDP,N111G,CZ,2003-01-01,3.2
PC_GDP,N111G,CZ,2004-01-01,3.2
PC_GDP,N111G,CZ,2005-01-01,3.4
