na_item,co_nco,sector,finpos,unit,geotime,date,value
F,NCO,S12,LIAB,MIO_NAC,AT,1995-01-01,479107.6
F,NCO,S12,LIAB,MIO_NAC,AT,1996-01-01,516240.6
F,NCO,S12,LIAB,MIO_NAC,AT,1997-01-01,550546.7
F,NCO,S12,LIAB,MIO_NAC,AT,1998-01-01,607681.5
F,NCO,S12,LIAB,MIO_NAC,AT,1999-01-01,688613.9
F,NCO,S12,LIAB,MIO_NAC,AT,2000-01-01,757465.9
F,NCO,S12,LIAB,MIO_NAC,AT,2001-01-01,793898.4
F,NCO,S12,LIAB,MIO_NAC,AT,2002-01-01,798297.1
F,NCO,S12,LIAB,MIO_NAC,AT,2003-01-01,857899.0
F,NCO,S12,LIAB,MIO_NAC,AT,2004-01-01,952876.0
F,NCO,S12,LIAB,MIO_NAC,AT,2005-01-01,1167563.9
F,NCO,S12,LIAB,MIO_NAC,AT,2006-01-01,1280383.7
F,NCO,S12,LIAB,MIO_NAC,AT,2007-01-01,1420781.1
F,NCO,S12,LIAB,MIO_NAC,AT,2008-01-01,1575738.2
F,NCO,S12,LIAB,MIO_NAC,AT,2009-01-01,1543904.0
F,NCO,S12,LIAB,MIO_NAC,AT,2010-01-01,1514665.3
F,NCO,S12,LIAB,MIO_NAC,AT,2011-01-01,1537010.7
F,NCO,S12,LIAB,MIO_NAC,AT,2012-01-01,1543115.1
F,NCO,S12,LIAB,MIO_NAC,AT,2013-01-01,1493546.2
F,NCO,S12,LIAB,MIO_NAC,AT,2014-01-01,1481380.6
F,NCO,S12,LIAB,MIO_NAC,AT,2015-01-01,1479500.8
F,NCO,S12,LIAB,MIO_NAC,AT,2016-01-01,1440426.2
F,NCO,S12,LIAB,MIO_NAC,AT,2017-01-01,1466702.4
F,NCO,S12,LIAB,MIO_NAC,BE,1995-01-01,768618.0
F,NCO,S12,LIAB,MIO_NAC,BE,1996-01-01,842465.1
F,NCO,S12,LIAB,MIO_NAC,BE,1997-01-01,914168.2
F,NCO,S12,LIAB,MIO_NAC,BE,1998-01-01,1057538.9
F,NCO,S12,LIAB,MIO_NAC,BE,1999-01-01,1138733.6
F,NCO,S12,LIAB,MIO_NAC,BE,2000-01-01,1165626.0
F,NCO,S12,LIAB,MIO_NAC,BE,2001-01-01,1252307.0
F,NCO,S12,LIAB,MIO_NAC,BE,2002-01-01,1233922.6
F,NCO,S12,LIAB,MIO_NAC,BE,2003-01-01,1370512.9
F,NCO,S12,LIAB,MIO_NAC,BE,2004-01-01,1552181.1
F,NCO,S12,LIAB,MIO_NAC,BE,2005-01-01,1805074.8
F,NCO,S12,LIAB,MIO_NAC,BE,2006-01-01,2008667.9
F,NCO,S12,LIAB,MIO_NAC,BE,2007-01-01,2298836.1
F,NCO,S12,LIAB,MIO_NAC,BE,2008-01-01,2197637.9
F,NCO,S12,LIAB,MIO_NAC,BE,2009-01-01,2204691.0
F,NCO,S12,LIAB,MIO_NAC,BE,2010-01-01,2168326.6
F,NCO,S12,LIAB,MIO_NAC,BE,2011-01-01,2285631.7
F,NCO,S12,LIAB,MIO_NAC,BE,2012-01-01,2169220.9
F,NCO,S12,LIAB,MIO_NAC,BE,2013-01-01,2188507.7
F,NCO,S12,LIAB,MIO_NAC,BE,2014-01-01,2260373.4
F,NCO,S12,LIAB,MIO_NAC,BE,2015-01-01,2321308.5
F,NCO,S12,LIAB,MIO_NAC,BE,2016-01-01,2376566.8
F,NCO,S12,LIAB,MIO_NAC,BE,2017-01-01,2392255.3
F,NCO,S12,LIAB,MIO_NAC,BG,1995-01-01,1662.0
F,NCO,S12,LIAB,MIO_NAC,BG,1996-01-01,4729.0
F,NCO,S12,LIAB,MIO_NAC,BG,1997-01-01,15321.0
F,NCO,S12,LIAB,MIO_NAC,BG,1998-01-01,16235.0
F,NCO,S12,LIAB,MIO_NAC,BG,1999-01-01,19195.0
F,NCO,S12,LIAB,MIO_NAC,BG,2000-01-01,24656.0
F,NCO,S12,LIAB,MIO_NAC,BG,2001-01-01,26274.0
F,NCO,S12,LIAB,MIO_NAC,BG,2002-01-01,28360.0
F,NCO,S12,LIAB,MIO_NAC,BG,2003-01-01,34617.0
F,NCO,S12,LIAB,MIO_NAC,BG,2004-01-01,47280.0
F,NCO,S12,LIAB,MIO_NAC,BG,2005-01-01,63463.0
F,NCO,S12,LIAB,MIO_NAC,BG,2006-01-01,96430.0
F,NCO,S12,LIAB,MIO_NAC,BG,2007-01-01,124696.0
F,NCO,S12,LIAB,MIO_NAC,BG,2008-01-01,123667.0
F,NCO,S12,LIAB,MIO_NAC,BG,2009-01-01,125274.0
F,NCO,S12,LIAB,MIO_NAC,BG,2010-01-01,118468.0
F,NCO,S12,LIAB,MIO_NAC,BG,2011-01-01,124924.0
F,NCO,S12,LIAB,MIO_NAC,BG,2012-01-01,137672.0
F,NCO,S12,LIAB,MIO_NAC,BG,2013-01-01,143539.0
F,NCO,S12,LIAB,MIO_NAC,BG,2014-01-01,151616.0
F,NCO,S12,LIAB,MIO_NAC,BG,2015-01-01,161054.0
F,NCO,S12,LIAB,MIO_NAC,BG,2016-01-01,179022.0
F,NCO,S12,LIAB,MIO_NAC,BG,2017-01-01,180951.0
F,NCO,S12,LIAB,MIO_NAC,CY,1995-01-01,20960.0
F,NCO,S12,LIAB,MIO_NAC,CY,1996-01-01,24542.1
F,NCO,S12,LIAB,MIO_NAC,CY,1997-01-01,26328.3
F,NCO,S12,LIAB,MIO_NAC,CY,1998-01-01,29894.1
F,NCO,S12,LIAB,MIO_NAC,CY,1999-01-01,45887.9
F,NCO,S12,LIAB,MIO_NAC,CY,2000-01-01,39915.8
F,NCO,S12,LIAB,MIO_NAC,CY,2001-01-01,43112.1
F,NCO,S12,LIAB,MIO_NAC,CY,2002-01-01,44221.6
F,NCO,S12,LIAB,MIO_NAC,CY,2003-01-01,49420.1
F,NCO,S12,LIAB,MIO_NAC,CY,2004-01-01,59404.9
F,NCO,S12,LIAB,MIO_NAC,CY,2005-01-01,79677.4
F,NCO,S12,LIAB,MIO_NAC,CY,2006-01-01,103167.0
F,NCO,S12,LIAB,MIO_NAC,CY,2007-01-01,131195.5
F,NCO,S12,LIAB,MIO_NAC,CY,2008-01-01,282906.5
